,count,mean,std,min,25%,50%,75%,max
RoA (ib/at),2714.0,-0.1400672291543399,0.3436529909080535,-1.6655055417843798,-0.23541605633362112,0.0013907869548332415,0.06510344893452936,0.28474994406598453
R&D Intensity (xrd/at),2714.0,0.07046592486349121,0.097729401114703,0.0,0.01437324088659935,0.03949059447792787,0.08285715616265607,0.5878967311058816
Firm Size (log assets),2714.0,6.379152970145059,3.1693896173130565,0.014888612493750559,3.656227072812948,6.302207591624656,8.291994911059977,14.653724714725575
Leverage (dltt/at),2714.0,0.07397602552213056,0.11010229592048774,0.0,0.0,0.01934134090008068,0.10837945461997063,0.5282669395790017
CAPX Intensity (capx/at),2714.0,0.03511544558790284,0.045783115864561595,0.0,0.005929340894441736,0.01832317925328119,0.046286570903052375,0.25343949369913904
Cash Ratio (che/at),2714.0,0.32037445368063566,0.23310653848317098,0.0027361231874774698,0.12777353552965492,0.26947267382877693,0.48091572212955347,0.9184487583527083
EBITDA Margin (ebitda/sale),2713.0,-2.0066300670147026,5.297982217507484,-21.559384545183637,-0.902679898365214,0.06212014796388131,0.18759655705142353,0.35702145134736896
